SAMPLEID,TIME,MUTID,r,R
a,0,M1,9,31
a,0,M2,13,29
a,0,M3,17,46
a,0,M4,19,35
a,0,M5,4,40
a,0,M6,28,56
a,0,M7,7,42
a,0,M8,16,17
a,0,M9,5,50
a,0,M10,16,43
a,0,M11,20,22
a,0,M12,14,45
a,0,M13,17,43
a,0,M14,0,35
a,0,M15,17,37
a,0,M16,17,37
a,0,M17,21,42
a,0,M18,21,45
b,16,M1,17,32
b,16,M2,17,45
b,16,M3,22,49
b,16,M4,22,33
b,16,M5,10,40
b,16,M6,13,31
b,16,M7,8,47
b,16,M8,17,20
b,16,M9,5,38
b,16,M10,18,40
b,16,M11,17,17
b,16,M12,12,44
b,16,M13,22,47
b,16,M14,1,37
b,16,M15,25,49
b,16,M16,18,36
b,16,M17,14,25
b,16,M18,16,46
c,32,M1,7,18
c,32,M2,24,59
c,32,M3,24,45
c,32,M4,18,37
c,32,M5,8,41
c,32,M6,15,30
c,32,M7,14,34
c,32,M8,15,15
c,32,M9,10,28
c,32,M10,18,41
c,32,M11,21,21
c,32,M12,20,57
c,32,M13,13,37
c,32,M14,1,24
c,32,M15,26,41
c,32,M16,15,32
c,32,M17,18,38
c,32,M18,14,32
d,40,M1,16,36
d,40,M2,22,43
d,40,M3,22,47
d,40,M4,12,38
d,40,M5,11,36
d,40,M6,20,39
d,40,M7,12,47
d,40,M8,16,18
d,40,M9,14,33
d,40,M10,14,44
d,40,M11,19,20
d,40,M12,16,44
d,40,M13,13,26
d,40,M14,4,30
d,40,M15,15,30
d,40,M16,18,46
d,40,M17,13,30
d,40,M18,24,48
e,50,M1,18,38
e,50,M2,33,63
e,50,M3,24,39
e,50,M4,19,39
e,50,M5,13,35
e,50,M6,21,45
e,50,M7,16,46
e,50,M8,25,26
e,50,M9,15,41
e,50,M10,17,44
e,50,M11,19,19
e,50,M12,27,57
e,50,M13,20,38
e,50,M14,1,50
e,50,M15,22,45
e,50,M16,23,43
e,50,M17,17,46
e,50,M18,21,44
